MATRIZ DE SEGUIMIENTO - CURSO "LO QUE DICES SIN ABRIR LA BOCA"
Nombre,Fecha Inicio,Módulo Actual,% Progreso

FASE 1: APRENDIZAJE (SEMANAS 1-2)
Aprendiste Módulo 0 (Introducción),Fecha,Módulo,100%
Aprendiste Módulo 1 (Fundamentos),Fecha,Módulo,100%
Aprendiste Módulo 2 (Regla 7-38-55),Fecha,Módulo,100%
Hiciste Ejercicio 1.1,Fecha,Ejercicio,Completado
Hiciste Ejercicio 2.1,Fecha,Ejercicio,Completado

FASE 2: INTEGRACIÓN (SEMANAS 3-6)
SEMANA 1: CONCIENCIA,Fecha Semana,Semana 1,En Progreso

Día 1: Auditoría de postura (Observa sin cambiar),Fecha,Auditoría,Completado
- Notas sobre tu postura actual,,,
- ¿Cómo la observó?,,,

Día 2-3: Filmate hablando (60 segundos),Fecha,Video,Completado
- ¿Hablas rápido o lento?,,,
- ¿Tu postura es abierta o cerrada?,,,

Día 4-5: Auditoría de mirada,Fecha,Auditoría,Completado
- ¿Evitas contacto visual?,,,
- ¿Sostienes la mirada más de 3 segundos?,,,

Día 6-7: Auditoría de voz,Fecha,Auditoría,Completado
- ¿Tu tono es grave o agudo?,,,
- ¿Haces pausas o hablas sin parar?,,,

SEMANA 2: POSTURA Y MIRADA,Fecha Semana,Semana 2,En Progreso

Ritual matinal: Power pose (90 segundos),Días Completados,Ritual,0/7
- Día 1,Sí/No,Realizado,
- Día 2,Sí/No,Realizado,
- Día 3,Sí/No,Realizado,
- Día 4,Sí/No,Realizado,
- Día 5,Sí/No,Realizado,
- Día 6,Sí/No,Realizado,
- Día 7,Sí/No,Realizado,

En reuniones: Contacto visual sostenido (3-5 seg),Eventos,Aplicación,
- Evento 1,Sí/No,Hecho,
- Evento 2,Sí/No,Hecho,
- Evento 3,Sí/No,Hecho,

Reflexión Semana 2,Fecha,Reflexión,
- ¿Qué cambió en cómo la gente reaccionó a ti?,,,
- ¿Sientes más confianza?,,,
- ¿Qué fue más desafiante?,,,

SEMANA 3: VOZ Y PAUSAS,Fecha Semana,Semana 3,En Progreso

Grabación 1: Presentación normal (5 min),Fecha,Video,Completado
- Análisis: ¿Hablas rápido?,,,
- ¿Tu tono varía?,,,
- ¿Haces pausas?,,,

Grabación 2: Con mejoras (5 min),Fecha,Video,Completado
- Ralenticé velocidad,Sí/No,Mejora,
- Introduje variación de tono,Sí/No,Mejora,
- Practiqué pausas,Sí/No,Mejora,

Aplicación en reunión: Pausas estratégicas,Eventos,Aplicación,
- Licitación / Negociación 1,Realizado,Sí/No,
- Reunión 1 a 1,Realizado,Sí/No,
- Presentación ante directorio,Realizado,Sí/No,

Reflexión Semana 3,Fecha,Reflexión,
- ¿La gente nota la diferencia en tu voz?,,,
- ¿Las pausas generan más impacto?,,,
- ¿Sientes control de la conversación?,,,

SEMANA 4: INTEGRACIÓN TOTAL,Fecha Semana,Semana 4,En Progreso

Ritual personal (5 min antes de reunión importante),Completado,Ritual,Sí/No
- Power pose + respiración + recordatorio mental,Hecho,Checklist,

Los 7 movimientos de entrada,Reuniones,Aplicación,
- Reunión 1: Aplicaste todos 7 movimientos,Sí/No,Aplicado,
- Reunión 2: Aplicaste todos 7 movimientos,Sí/No,Aplicado,
- Reunión 3: Ya es automático,Sí/No,Automático,

Reflexión FINAL SEMANA 4,Fecha,Reflexión,
- ¿Qué cambió en cómo te perciben?,,,
- ¿Cerraste más negocios esta mes?,,,
- ¿Qué fue el cambio más visible?,,,

FASE 3: CONSOLIDACIÓN (DÍAS 30-90)
DÍA 30: CHECKPOINT,Fecha,Checkpoint,

¿Mantuviste los rituales?,Sí/No,Pregunta,
¿Sientes la diferencia en cómo te perciben?,Sí/No,Pregunta,
¿Qué hábito fue más impactante?,Texto,Respuesta,
- Postura / Mirada / Voz / Pausas / Entrada / Contexto,,,

Notas personales Día 30,Texto,Reflexión,
,,,

DÍA 60: PROFUNDIZACIÓN,Fecha,Checkpoint,

¿Cuál área necesita más trabajo?,Opción,Diagnóstico,
- Postura / Mirada / Voz / Pausas / Entrada / Contexto,,,

Re-grabación comparativa (Día 1 vs Día 60),Fecha,Comparación,
- Video Día 1,Enlace,Video,
- Video Día 60,Enlace,Video,
- Cambios observados,Descripción,Análisis,

¿Cuál fue el cambio más visible en tus reuniones?,Texto,Impacto,
- Licitaciones,Descripción,Resultado,
- Negociaciones,Descripción,Resultado,
- Presentaciones,Descripción,Resultado,

Notas personales Día 60,Texto,Reflexión,
,,,

DÍA 90: SOSTENIBILIDAD,Fecha,Checkpoint,

¿La presencia ya es automática?,Sí/No,Evaluación,

Nuevos desafíos identificados,Texto,Crecimiento,
- ¿Dónde aún necesitas crecer?,,,

¿Cómo han cambiado tus oportunidades?,Texto,Impacto,
- Oportunidades nuevas,Descripción,Resultado,
- Clientes que retornaron,Descripción,Resultado,
- Reconocimiento de colegas,Descripción,Resultado,

Reflexión FINAL 90 días,Texto,Conclusión,

Próximos pasos (Día 90+),Texto,Futuro,
,,,

NOTAS GENERALES
Desafíos encontrados,Texto,Reflexión,
Victorias destacables,Texto,Celebración,
Cambios implementados después del curso,Texto,Innovación,
Personas con las que compartiste el aprendizaje,Texto,Impacto Social,

